
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  UDP    0.0.0.0:5353           *:*                                    2608
  UDP    0.0.0.0:5353           *:*                                    9704
  UDP    0.0.0.0:5353           *:*                                    16276
  UDP    0.0.0.0:5353           *:*                                    16276
  UDP    0.0.0.0:5355           *:*                                    2608
  UDP    0.0.0.0:51706          0.0.32.4:443                           2644
  UDP    0.0.0.0:53386          *:*                                    5948
  UDP    0.0.0.0:56559          *:*                                    2608
  UDP    127.0.0.1:1900         *:*                                    5716
  UDP    127.0.0.1:10120        *:*                                    33936
  UDP    127.0.0.1:49664        127.0.0.1:49664                        5636
  UDP    127.0.0.1:50980        *:*                                    5716
  UDP    127.0.0.1:64049        *:*                                    28020
  UDP    192.168.1.6:137        *:*                                    4
  UDP    192.168.1.6:138        *:*                                    4
  UDP    192.168.1.6:1900       *:*                                    5716
  UDP    192.168.1.6:5353       *:*                                    5948
  UDP    192.168.1.6:50979      *:*                                    5716
  UDP    [::]:500               *:*                                    5648
  UDP    [::]:4500              *:*                                    5648
  UDP    [::]:5353              *:*                                    2608
  UDP    [::]:5353              *:*                                    9704
  UDP    [::]:5353              *:*                                    18860
  UDP    [::]:5353              *:*                                    16276
  UDP    [::]:5353              *:*                                    7744
  UDP    [::]:5355              *:*                                    2608
  UDP    [::]:51706             [2404:6800:4007:800::2004]:443                  2644
  UDP    [::]:53387             *:*                                    5948
  UDP    [::]:56559             *:*                                    2608
  UDP    [::1]:1900             *:*                                    5716
  UDP    [::1]:5353             *:*                                    5948
  UDP    [::1]:50978            *:*                                    5716
  UDP    [fe80::9309:9343:8312:1101%9]:1900  *:*                                    5716
  UDP    [fe80::9309:9343:8312:1101%9]:50977  *:*                                    5716
